timestamp,value,humidity_max,humidity_min,humidity_unit,humidity_type,temperature,temperature_max,temperature_min,temperature_type,temperature_unit,day_id,extracted_path,transformed_path,date
2022-12-04T23:45:00.000Z,0.564,0.607,0.548,UNIT_INTERVAL,percentage,20.02,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T00:00:00.000Z,0.56,0.607,0.548,UNIT_INTERVAL,percentage,19.91,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T00:15:00.000Z,0.553,0.607,0.548,UNIT_INTERVAL,percentage,19.77,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T00:30:00.000Z,0.548,0.607,0.548,UNIT_INTERVAL,percentage,19.64,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T00:45:00.000Z,0.549,0.607,0.548,UNIT_INTERVAL,percentage,19.49,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T01:00:00.000Z,0.549,0.607,0.548,UNIT_INTERVAL,percentage,19.49,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T01:15:00.000Z,0.551,0.607,0.548,UNIT_INTERVAL,percentage,19.4,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T01:30:00.000Z,0.551,0.607,0.548,UNIT_INTERVAL,percentage,19.29,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T01:45:00.000Z,0.551,0.607,0.548,UNIT_INTERVAL,percentage,19.17,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T02:00:00.000Z,0.554,0.607,0.548,UNIT_INTERVAL,percentage,19.06,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T02:15:00.000Z,0.555,0.607,0.548,UNIT_INTERVAL,percentage,18.96,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T02:30:00.000Z,0.555,0.607,0.548,UNIT_INTERVAL,percentage,18.9,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T02:45:00.000Z,0.554,0.607,0.548,UNIT_INTERVAL,percentage,18.81,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T03:00:00.000Z,0.555,0.607,0.548,UNIT_INTERVAL,percentage,18.71,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T03:15:00.000Z,0.555,0.607,0.548,UNIT_INTERVAL,percentage,18.71,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T03:30:00.000Z,0.557,0.607,0.548,UNIT_INTERVAL,percentage,18.62,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T03:45:00.000Z,0.558,0.607,0.548,UNIT_INTERVAL,percentage,18.54,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T04:00:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,18.46,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T04:15:00.000Z,0.56,0.607,0.548,UNIT_INTERVAL,percentage,18.41,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T04:30:00.000Z,0.556,0.607,0.548,UNIT_INTERVAL,percentage,18.34,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T04:45:00.000Z,0.557,0.607,0.548,UNIT_INTERVAL,percentage,18.27,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T05:00:00.000Z,0.556,0.607,0.548,UNIT_INTERVAL,percentage,18.15,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T05:15:00.000Z,0.556,0.607,0.548,UNIT_INTERVAL,percentage,18.15,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T05:30:00.000Z,0.558,0.607,0.548,UNIT_INTERVAL,percentage,18.09,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T05:45:00.000Z,0.558,0.607,0.548,UNIT_INTERVAL,percentage,18.03,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T06:00:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.96,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T06:15:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.93,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T06:30:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.93,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T06:45:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.86,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T07:00:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.8,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T07:15:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.73,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T07:30:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,17.64,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T07:45:00.000Z,0.56,0.607,0.548,UNIT_INTERVAL,percentage,17.8,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T08:00:00.000Z,0.555,0.607,0.548,UNIT_INTERVAL,percentage,18.42,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T08:15:00.000Z,0.553,0.607,0.548,UNIT_INTERVAL,percentage,19.36,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T08:30:00.000Z,0.555,0.607,0.548,UNIT_INTERVAL,percentage,19.81,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T08:45:00.000Z,0.561,0.607,0.548,UNIT_INTERVAL,percentage,19.99,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T09:00:00.000Z,0.567,0.607,0.548,UNIT_INTERVAL,percentage,20.21,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T09:15:00.000Z,0.564,0.607,0.548,UNIT_INTERVAL,percentage,20.65,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T09:30:00.000Z,0.563,0.607,0.548,UNIT_INTERVAL,percentage,20.97,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T09:45:00.000Z,0.559,0.607,0.548,UNIT_INTERVAL,percentage,21.2,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T10:00:00.000Z,0.566,0.607,0.548,UNIT_INTERVAL,percentage,21.07,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T10:15:00.000Z,0.566,0.607,0.548,UNIT_INTERVAL,percentage,21.07,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T10:30:00.000Z,0.569,0.607,0.548,UNIT_INTERVAL,percentage,20.92,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T10:45:00.000Z,0.573,0.607,0.548,UNIT_INTERVAL,percentage,20.79,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T11:00:00.000Z,0.576,0.607,0.548,UNIT_INTERVAL,percentage,20.69,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T11:15:00.000Z,0.576,0.607,0.548,UNIT_INTERVAL,percentage,20.54,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T11:30:00.000Z,0.565,0.607,0.548,UNIT_INTERVAL,percentage,20.61,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
2022-12-05T11:45:00.000Z,0.571,0.607,0.548,UNIT_INTERVAL,percentage,20.57,21.97,17.64,temperature,celsius,2e4b4750fbce48c3af288bde06c42cee,/opt/airflow/dags/files/tado_zone10_2022-12-05.json,/opt/airflow/dags/files/tado_zone10_2022-12-05_climate.csv,2022-12-05
